ISOAlpha3,Country,Sex,Year,Prevalence BMI ≥25 kg/m² (overweight and obesity),Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=35 kg/m² (severe obesity)
ATG,Antigua and Barbuda,Men,2000,0.332324945,0.001949073,0.071386587,0.010142537
ATG,Antigua and Barbuda,Men,2001,0.337611744,0.002164839,0.073923575,0.010868331
ATG,Antigua and Barbuda,Men,2002,0.342814262,0.002401587,0.076486120,0.011632323
ATG,Antigua and Barbuda,Men,2003,0.347948200,0.002660517,0.079078003,0.012436689
ATG,Antigua and Barbuda,Men,2004,0.353012395,0.002943934,0.081700561,0.013285561
ATG,Antigua and Barbuda,Men,2005,0.358007046,0.003253777,0.084362573,0.014185606
ATG,Antigua and Barbuda,Men,2006,0.362960501,0.003591671,0.087085841,0.015139544
ATG,Antigua and Barbuda,Men,2007,0.367865041,0.003960536,0.089877718,0.016152403
ATG,Antigua and Barbuda,Men,2008,0.372776602,0.004363515,0.092752933,0.017231596
ATG,Antigua and Barbuda,Men,2009,0.377688716,0.004802756,0.095715982,0.018381687
ATG,Antigua and Barbuda,Men,2010,0.382622804,0.005288046,0.098781817,0.019615096
ATG,Antigua and Barbuda,Men,2011,0.387676240,0.005825257,0.101997254,0.020948938
ATG,Antigua and Barbuda,Men,2012,0.392857515,0.006417181,0.105383470,0.022389478
ATG,Antigua and Barbuda,Men,2013,0.398146568,0.007072672,0.108949836,0.023953511
ATG,Antigua and Barbuda,Men,2014,0.403555552,0.007803004,0.112705917,0.025656206
ATG,Antigua and Barbuda,Men,2015,0.409097838,0.008616265,0.116661491,0.027502457
ATG,Antigua and Barbuda,Men,2016,0.414866994,0.009527140,0.120878285,0.029528956
ARG,Argentina,Men,2000,0.576188168,0.004244688,0.197699418,0.035525630
ARG,Argentina,Men,2001,0.583101044,0.004603273,0.202538269,0.037382533
ARG,Argentina,Men,2002,0.589971819,0.004987508,0.207427090,0.039312233
ARG,Argentina,Men,2003,0.596825248,0.005400772,0.212387667,0.041321624
ARG,Argentina,Men,2004,0.603657255,0.005844652,0.217420367,0.043408311
ARG,Argentina,Men,2005,0.610441958,0.006321016,0.222510065,0.045582197
ARG,Argentina,Men,2006,0.617158150,0.006828578,0.227666508,0.047842281
ARG,Argentina,Men,2007,0.623806803,0.007370398,0.232878568,0.050196184
ARG,Argentina,Men,2008,0.630402461,0.007949520,0.238149031,0.052642027
ARG,Argentina,Men,2009,0.636918564,0.008565384,0.243487822,0.055190026
ARG,Argentina,Men,2010,0.643363803,0.009226146,0.248862536,0.057828017
ARG,Argentina,Men,2011,0.649736523,0.009936822,0.254284351,0.060567040
ARG,Argentina,Men,2012,0.656040688,0.010696807,0.259759485,0.063410583
ARG,Argentina,Men,2013,0.662258882,0.011515125,0.265290676,0.066368259
ARG,Argentina,Men,2014,0.668408542,0.012399544,0.270897159,0.069457030
ARG,Argentina,Men,2015,0.674488190,0.013355296,0.276579940,0.072670601
ARG,Argentina,Men,2016,0.680483265,0.014381548,0.282312710,0.076016675
BHS,Bahamas,Men,2000,0.506965831,0.007329373,0.165061600,0.034713013
BHS,Bahamas,Men,2001,0.514693265,0.008027685,0.170078637,0.036838078
BHS,Bahamas,Men,2002,0.522309599,0.008778715,0.175134753,0.039047861
BHS,Bahamas,Men,2003,0.529831669,0.009587126,0.180229698,0.041346441
BHS,Bahamas,Men,2004,0.537266290,0.010454868,0.185360353,0.043739003
BHS,Bahamas,Men,2005,0.544609243,0.011387191,0.190527864,0.046231199
BHS,Bahamas,Men,2006,0.551851301,0.012384500,0.195751366,0.048821033
BHS,Bahamas,Men,2007,0.558996540,0.013442978,0.201035550,0.051515853
BHS,Bahamas,Men,2008,0.566071910,0.014566068,0.206377064,0.054312262
BHS,Bahamas,Men,2009,0.573082456,0.015760898,0.211789795,0.057230416
BHS,Bahamas,Men,2010,0.580044936,0.017039113,0.217288220,0.060272982
BHS,Bahamas,Men,2011,0.587003158,0.018409874,0.222911009,0.063465493
BHS,Bahamas,Men,2012,0.593950379,0.019876362,0.228665268,0.066811599
BHS,Bahamas,Men,2013,0.600845110,0.021446922,0.234536086,0.070321082
BHS,Bahamas,Men,2014,0.607727237,0.023123268,0.240550452,0.073998098
